,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-4.6080112,-0.4150808,-1.7742395,-0.71696043,0.3648579,1.2209415,1.8307567,2.347219,2.803576,2.390635,1.6536832,1.9182026,0.8371234,-0.4169345,-1.4437258,-2.9607832,-3.9621234,-5.0203323,-4.5881567,-3.8508773,-1.8343806,-0.30999184,0.8319855,1.345098
365,-3.1841338,-2.5719047,-3.424275,-3.0769408,-2.73062,-2.9759824,-2.8223753,-2.385372,-1.7308116,-1.2974977,-2.4729013,-1.7649531,-2.175951,-2.2702813,-2.1847248,-1.7663777,-2.210021,-1.1900187,-1.2933671,-1.3937056,-1.240623,-1.46299,-1.5625417,-1.7526388
364,-3.6372602,-4.4221163,-3.9035618,-4.578418,-4.131502,-4.2747855,-3.7632287,-2.5069654,-1.8201053,-1.6730726,-1.6697884,-1.6386926,-1.5887439,-3.0492604,-2.3761928,-2.9190779,-2.4793506,-2.2898376,-2.4138033,-1.8085659,-1.8363535,-2.2518516,-2.2128196,-2.7589023
363,-5.145836,-3.496164,-3.7340403,-4.6096506,-3.064084,-3.1637669,-2.6993513,-2.3709774,-2.1351278,-2.315253,-2.3615718,-2.4967968,-2.7716637,-2.553594,-2.7118683,-2.8603435,-2.5675714,-3.2417476,-3.0827105,-4.2677045,-4.3618917,-4.7341347,-4.467714,-4.1689515
362,-3.9206684,-3.4217775,-2.7513564,-2.0697415,-3.288877,-2.5020838,-2.282399,-2.3943663,-2.804792,-3.8686156,-3.971386,-3.5729885,-3.6948025,-4.506719,-4.1185436,-3.867489,-4.9857497,-3.7456691,-2.6652157,-2.6655972,-3.1971455,-3.9616883,-4.4844685,-2.4789274
361,-3.0408144,-2.3049355,-1.5432537,-1.1302352,-1.9784927,-1.7741263,-1.5618205,-1.4311194,-1.099062,-1.0975182,-0.6408453,0.0014781952,-0.5863786,-0.06454587,0.21002889,0.59762,-0.7533252,-2.6709616,0.9454906,0.4984498,-5.1162004,-4.088178,-2.11581,-3.0255914
360,-3.3290505,-2.9408634,-3.2644153,-2.5779247,-2.1585166,-2.9028535,-2.7779102,-2.7256846,-2.5851667,0.5444646,1.167196,1.9173443,2.1056712,2.341944,2.4256706,0.28864145,-0.5607724,-1.0375559,-2.040428,-3.3940852,-1.9347787,-2.4610102,-3.149578,-2.1949947
359,-0.7239342,-3.8579106,-3.36774,-3.0065536,-3.7261546,-4.095876,-3.0669928,-2.6462913,-2.4201512,-1.2514889,0.17534494,-0.26898384,0.095659494,-2.4682164,-1.9039571,-1.3771594,-1.1948586,-2.2969306,-1.1138439,-2.4579227,-2.5454342,-2.4080038,-2.2183685,-3.6340296
358,-3.0255914,-2.7314663,-2.9862642,-3.3061206,-3.029263,-2.973014,-2.156812,-2.1447718,-1.628995,-1.6840756,-1.4061749,-1.6628623,-1.7079055,-1.3957441,-1.2940347,-0.86556077,-1.51124,-1.9436836,-1.1348426,-1.4192998,-1.5952349,-1.9320548,-1.3721108,-1.0105371
357,-5.4911733,-4.842907,-5.437875,-5.009532,-4.1253386,-4.2151093,-4.113221,-4.51991,-4.2873325,-3.8696587,-3.7338257,-3.4884036,-3.4128845,-3.313136,-3.6342442,-3.0238867,-3.2250583,-2.2703052,-3.4045994,-1.6685069,-1.5850246,-1.9890308,-2.2402644,-1.777488
356,-3.045833,-1.7625272,-2.2059739,-1.451999,-1.0310113,-1.441884,-1.6433418,-1.817739,-1.5037119,-2.2152126,-1.7128527,-2.3337007,-1.747632,-2.0976067,-1.906699,-2.2816122,-1.9034207,-3.7021518,-3.5817564,-4.5632243,-4.8050404,-5.0341663,-4.6944857,-5.4433527
355,-1.9693613,-2.0103574,-1.1127532,-0.8740723,-0.97010136,-0.8421719,-1.9599915,-1.4078379,-2.1493018,-2.2022128,0.2577722,0.54448247,0.5718231,0.3536284,0.13737082,0.33204556,0.60532093,-0.80162287,-2.387321,-1.4385998,-1.1969805,-2.1449268,-2.2996604,-2.5601804
354,-3.392917,-3.7119687,-3.515166,-3.725046,-2.8098762,-3.2765448,-2.7956784,-2.8651118,-2.7073383,-2.7167082,-2.7606428,-3.0246198,-2.9152632,-2.3130715,-1.8603206,-1.5924454,-2.5302827,-2.3006797,-2.8348386,-3.3627331,-3.6474705,-3.227228,-2.6023746,-1.8892825
