,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,1.8648071,1.1791687,0.8601074,0.59521484,1.5008545,1.3860779,1.3200378,1.2996826,1.2630005,1.2118835,1.173584,1.1175232,1.2593689,1.1799927,1.0965881,1.055542,1.3224182,1.4046936,1.3522949,1.5483398,1.9444275,1.888092,0.960022,1.0735474
365,2.2034302,2.2194824,2.1492004,2.0585327,2.1238098,2.1022644,2.1045532,2.2485352,2.2820435,2.000763,2.1140137,2.2217102,2.0689087,2.0322266,1.9651489,1.9614868,2.3668518,2.2245789,2.2281494,2.4161377,2.2297974,2.3684082,2.5210876,2.5622864
364,2.2865906,2.2598267,2.1369324,2.0108643,2.012909,2.1629944,2.1790771,2.164154,2.0971375,2.076233,2.0069275,1.9407654,2.1794739,2.1559448,2.1516724,2.1600342,1.889801,2.13266,2.3424988,2.2588196,2.202362,2.137024,2.338562,2.2146912
363,2.2414856,2.0178223,2.2445374,2.0485535,2.1835938,2.098755,2.0909424,2.1262207,2.160431,2.1279907,2.1556396,2.0747986,1.9523926,1.8908386,1.8575745,1.8231812,1.8387146,2.0498352,2.212555,2.328949,2.329834,2.4761963,2.5384216,2.373413
362,2.0533142,1.8712769,1.8732605,1.7435913,1.9847107,1.6234436,1.7559814,1.6750793,1.81781,1.8050232,1.7689514,1.7082214,1.6486511,1.6411438,1.7138977,1.6929321,1.729126,1.7881165,1.8457642,2.0220642,2.2917786,2.1661072,2.0063477,2.3444824
361,1.5332642,1.8609314,1.4058838,1.6958618,1.477478,1.4876404,1.5617676,1.6048889,1.5785217,1.484375,1.4986572,1.5443115,1.4723816,1.3956909,1.3830261,1.4926147,1.3561401,1.361145,1.6529541,1.6209106,1.9476318,2.0454102,2.0832214,2.1063538
360,1.6506653,1.4785461,1.425415,1.5381775,1.5112305,1.6417542,1.6925049,1.3920898,1.4377136,1.5160522,1.4883423,1.5907593,1.579071,1.5756226,1.523346,1.4319458,1.5009155,1.7070007,1.2671814,1.6251221,1.7119446,1.6506042,1.4337463,1.7619629
359,1.5934753,1.5404358,1.446106,1.4724731,1.4812012,1.5057678,1.4614258,1.5132446,1.5193481,1.5597534,1.5767822,1.4620667,1.3248901,1.1793823,1.189331,1.2494812,1.4277344,1.4580078,1.5845337,1.7103577,1.6251526,1.5460815,1.5308533,1.5310669
358,1.637207,1.5088501,1.5586548,1.5812073,1.4355164,1.4459534,1.4356079,1.534668,1.4881897,1.4068298,1.4625244,1.4457703,1.4159851,1.4305725,1.4503784,1.492981,1.3762207,1.4949036,1.3729858,1.4763184,1.423706,1.4040527,1.6109619,1.7149963
357,1.7499695,1.7380066,1.6078186,1.482605,1.4742737,1.4698486,1.4589539,1.3882141,1.3556824,1.3326416,1.3632507,1.3931274,1.4392395,1.4432678,1.2949524,1.4752197,1.4045715,1.4717407,1.4959717,1.5195007,1.6045227,1.622345,1.6558838,1.6440735
