,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-6.5897465,-3.5479546,-3.6392093,-2.065158,-1.7253101,-1.2193263,0.7813394,3.350228,3.2297134,4.6366096,6.633443,7.0986805,-3.694445,-3.1877518,-2.5437295,-1.6085625,-2.4536192,-4.053158,-4.42718,-4.302451,-4.2280226,-4.0501447,-1.6189277,-0.7071972
365,-2.9947667,-2.061677,-2.4332285,-2.1896064,-2.710688,-1.7477214,-2.029997,-3.2870293,-2.1436214,-2.7787387,-2.8388858,-2.696228,-1.6938388,-2.2380471,-1.6059101,-1.8720567,-2.1783948,-2.0188212,-2.1716504,-4.1427493,0.5294055,0.30484498,-0.5739927,-1.4528602
364,-2.520433,-2.3682237,-0.73429346,-2.186805,-1.9213617,-2.9188395,-2.7521074,-1.0927916,-1.4318764,-1.7971933,-1.1377037,-2.6630878,-2.495265,-2.735728,-3.4089804,-3.3134103,-3.3653378,-3.271252,-2.3761034,-3.3034773,-3.9112716,-2.7026205,-2.1523237,-2.3672104
363,-0.48954785,1.0356426,-0.91063976,0.0410676,-2.9292822,-2.5817573,-0.9482801,-0.50306916,0.13042688,-2.3977935,-2.7576566,-3.2794833,-1.0519922,-2.2632241,-2.1726072,-3.251338,-1.7001867,-1.7020166,-1.3432235,-0.8321136,-0.8043438,-1.3448656,-1.8693984,-1.9728631
362,-1.2787402,-1.1479855,-1.8618345,-0.8689761,-0.9031534,-0.084364414,-0.8714974,-0.3433287,-1.8266737,-1.2473285,-1.4943361,-1.8570364,-2.3714721,-0.52351356,-1.5840054,-1.9307256,-1.2178957,-0.7880688,-1.3836086,-1.0726243,-0.9861082,-0.48364997,-0.25064945,0.4767388
361,3.5063148,3.2946825,2.478969,2.5309563,3.035003,4.4003487,2.270472,3.0750036,2.7255416,2.2627234,2.418661,1.8938184,2.153188,1.9037426,0.1783073,0.4087925,-0.55928826,0.20951629,-0.33292174,-0.6146014,-0.5483955,-1.1186272,-1.9938082,-1.6345859
360,-0.5950004,0.20008087,-0.19512773,1.5334904,1.7502904,2.01028,2.452141,2.4093688,2.1170616,1.48803,0.7984996,0.8123934,2.680719,3.1335115,3.5733342,4.1198072,1.7067134,2.47401,2.1101534,3.0361593,1.0190248,1.2493551,1.9219548,1.0563374
359,1.2055695,1.6643047,-0.21898746,1.2236118,2.2858143,1.1756122,2.4685562,1.9487679,1.8489242,1.9144416,1.7321765,0.5706012,0.13141036,0.6520331,0.59071183,0.73294044,1.3080001,1.6530216,2.384919,2.7335703,-0.12618005,1.4578581,2.3114352,0.7137805
358,-0.984329,-0.84813833,-1.12198,-1.7251968,-0.105661154,-0.96390843,-0.4342854,0.017935038,0.042158365,0.20918846,0.9703636,0.74425936,1.1571646,1.3982832,1.4231384,1.395297,0.9444177,2.267605,0.26994944,1.7558604,1.6629487,0.11982918,1.6213,1.583749
357,-2.912289,-4.3192205,-3.6450863,-3.1780243,-4.16317,-3.8284779,-3.414911,-2.6763558,-3.003031,-3.5855591,-2.5948584,-2.204752,-1.311779,-1.6898453,-3.0163765,-2.966535,-1.3964832,-0.8722007,-1.434207,-3.55618,-4.626089,0.75505376,2.1997273,-0.3111601
356,-3.0750604,-2.1229804,-2.4484754,-1.7708004,-1.6407669,-1.4836013,-2.1609664,-1.8064976,-1.7291069,-1.5408397,-1.2508988,-0.90994835,-0.44822097,-2.916932,-6.104636,-5.3751526,-4.4238806,-3.749019,-2.5152504,-3.6857934,-3.8008332,-4.0747223,-3.6422193,-3.3510833
