,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,0.6455078,0.48770142,0.4121399,0.28497314,1.2645569,1.1809387,1.1212769,1.5367432,1.4795227,1.4173584,1.3101807,1.2399597,1.1777039,1.1300354,1.1645508,1.2186584,1.2884216,1.4933167,1.3522949,1.0902405,1.316925,1.3813782,0.5065613,0.5989685
365,1.7305908,1.6965942,1.6213989,1.535492,1.5219116,1.5426025,1.5421143,1.6171265,1.6748047,1.5258484,1.6134949,1.707489,1.5244446,1.5723877,1.4551392,1.4632263,1.7836914,1.7851562,1.7770996,1.8647766,1.8882141,1.9215698,1.8465271,2.0039368
364,1.5872803,1.4656677,1.5528564,1.5844727,1.5820618,1.6964417,1.5352783,1.6044617,1.6169128,1.5939026,1.5444336,1.4411316,1.5171204,1.4287415,1.3866882,1.3397827,1.3799438,1.596405,1.6476135,1.7220154,1.5726624,1.5241699,1.7333374,1.634491
363,1.588501,1.5825195,1.5967407,1.6506653,1.7712402,1.7130432,1.6719055,1.5922241,1.8117676,1.7294617,1.6318359,1.6612244,1.5055542,1.3898621,1.4249573,1.3283691,1.365387,1.4941406,1.3138733,1.5516357,1.6503906,1.6074524,1.5814514,1.5188904
362,1.480896,1.3670349,1.5475769,1.3222656,1.6765137,1.2802429,1.5238647,1.4928894,1.4954529,1.459137,1.4228516,1.4444275,1.4660034,1.3866882,1.4011536,1.435852,1.5559998,1.4636841,1.5718689,1.7432861,1.7407837,1.6956482,1.4503174,1.5808411
361,0.92129517,1.2408752,0.89923096,0.98916626,0.941803,1.0087891,1.0901184,1.1413879,1.099762,1.0677795,1.067688,1.1260986,1.1940918,1.2373962,1.190918,1.2419434,1.2038574,1.2780151,1.2565002,1.3098755,1.4798889,1.453125,1.4251404,1.3862305
360,0.8512573,0.9977417,0.71365356,0.8343506,1.0108337,1.1055908,1.103302,0.97091675,1.0368042,1.0804749,1.1602173,1.2573242,1.2112427,1.1682129,1.0513916,1.0391235,1.1188049,1.1933899,0.86135864,0.9963074,1.1411438,0.8908081,0.82821655,1.2061768
359,1.174469,0.96051025,0.841156,1.1452942,1.1880493,1.2077942,1.1985779,1.3009949,0.8463135,0.94836426,1.059021,1.0398254,0.9949646,0.9543457,1.0928955,1.2054138,1.0790405,0.9456482,1.0917053,1.1053467,1.0534668,0.8886719,0.8479614,0.7579651
358,1.229126,1.0566101,1.217102,1.2960205,1.230835,1.2218933,1.1589966,1.1607056,1.1686707,1.1208496,1.2103577,1.242279,1.2510681,1.2462463,1.1650085,1.166565,1.0671997,1.2963562,0.9913025,0.7742615,1.175293,1.149231,0.94781494,1.1984863
357,1.4605408,1.3916321,1.4542847,1.262085,1.1674194,1.0804443,1.0479736,0.99749756,0.9708557,0.97717285,1.0167236,1.0719299,1.1079712,1.0970764,0.9892578,1.2272644,1.032135,1.4717407,1.2435303,1.2127991,1.3417969,1.2119751,1.1431885,1.4171753
356,1.6499023,1.2130737,1.309906,1.1738281,1.0464783,1.2509155,1.261261,1.2379456,1.1938782,1.1267395,1.063446,1.0935364,1.0552368,1.0350342,1.0190125,0.91381836,1.130249,1.2354736,1.3061829,1.2886047,1.2904968,1.5582275,1.6437378,1.2098389
355,1.4223633,1.6034546,1.6024475,1.3813782,1.3766174,1.3632812,1.34906,1.4304199,1.5470581,1.4942932,1.5664978,1.4739075,1.4525146,1.5076904,1.2888489,1.3387451,1.0961609,1.2095947,1.366394,1.495697,1.5624695,1.5994568,1.7008667,1.8438721
354,1.1622925,1.1830139,1.2115784,0.7956238,0.94052124,0.99606323,1.1274109,1.0529785,1.1029968,1.1363525,0.83410645,0.7911682,0.92456055,1.0240173,1.0248718,1.1933594,1.1087952,1.0727844,1.5270691,1.5527039,1.5962219,1.4628296,1.4543457,1.492157
