,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-4.4905305,-1.4765084,-1.4040291,-1.3099015,-2.206117,-3.7612379,-1.9760132,-3.3011854,-2.6507735,-1.2010753,-0.55565834,0.12181997,1.6614616,1.7653942,0.80126524,0.27753115,-0.7628441,-1.329279,-2.104801,-2.1362364,-6.088114,-8.509326,-7.4472246,-4.3951454
365,-2.1055102,-0.9234786,-0.6067753,-0.41325092,-0.26885867,-1.1033297,-2.4198115,-2.1889985,-2.5908947,-3.314656,-2.6194453,-3.3067405,-2.9075325,-2.555579,-1.6712427,-2.3518205,-1.8985927,-1.9061804,-1.2996614,-0.9165704,-3.3119142,-2.3464382,-1.0494769,-0.3412664
364,-4.014981,-3.5627902,-4.265058,-4.3705583,-2.935946,-2.0545661,-1.5210152,-1.3855577,-1.7874122,-1.9008815,-2.4436474,-1.4995933,-1.4962077,-1.7245948,-1.0097742,-1.0509312,-1.1447668,-2.5190532,-2.3552418,-2.9096127,-1.4387071,-2.9157162,-1.6681135,-1.9773483
363,-2.1111012,-2.86811,-2.0157397,-3.7581146,-3.482914,-2.0876348,-2.5648475,-2.0653307,-2.5640786,-3.3750832,-2.972412,-2.6816547,-3.227806,-3.858894,-4.041356,-3.5812736,-4.033309,-2.3373604,-2.557999,-0.69512725,-3.1094253,-4.5962515,-2.6215434,-4.4941783
362,-4.340392,-3.9649189,-2.7331471,-1.2682974,-0.7931709,-0.93167424,-1.1718929,-0.7249534,-1.1532784,-1.6860545,-1.3255954,-1.509583,-3.7777305,-1.1310518,0.74334145,-1.4647245,-2.0753026,-1.8732369,-5.024523,-4.000783,-4.270273,-6.5744877,-2.3987293,-2.5704443
361,-4.108959,-3.8685799,-2.2523105,-1.843816,-3.724873,-3.8067818,-4.2055187,-3.3664286,-1.7045736,-2.5312722,-3.669101,-3.4721673,-2.7534485,-2.2469282,-2.2131085,-1.8407226,-2.2901237,-3.3369422,-2.2606611,-4.099041,-2.9189467,-4.6099606,-6.0652075,-5.612344
360,-3.5506725,-3.1164527,-2.7980864,-2.7909696,-2.5760353,-1.5744686,-0.42980313,0.7068455,-0.4790306,-1.5876412,-1.3535082,-0.57329535,-1.423204,-1.7841041,-1.8158317,-2.0360172,-3.123057,-4.724312,-5.1956234,-4.3008146,-3.6381543,-4.4137836,-5.1629543,-4.846072
359,-3.2384574,-3.0866146,-4.191971,-2.9820323,-3.6637962,-2.8027356,-1.9811153,-2.381742,-1.3481915,-1.6085625,-2.1682858,-1.7956793,-1.9800186,-2.7691007,-2.3731887,-1.5407205,-3.0561447,-2.839923,-4.3447676,-5.385673,-3.9001763,-3.0441046,-4.624671,-3.773427
358,-3.3737302,-3.2671332,-3.3347785,-3.5694122,-3.9887428,-5.0758896,-4.9885154,-5.09966,-5.4094195,-5.167067,-4.363537,-4.7048273,-3.2321274,-2.9875338,-3.758341,-3.7142277,-4.7395706,-2.301681,-1.9190371,-2.3520172,-4.7496796,-3.167981,-4.099083,-3.7911475
357,-7.133043,-5.927849,-6.1698675,-4.264599,-4.442978,-4.426396,-4.2544007,-3.3887386,-2.6181161,-3.5923302,-3.3327281,-3.7977278,-3.7934124,-3.8223028,-4.366052,-4.1433516,-2.9286683,-3.9253294,-2.7606964,-3.495264,-2.3794591,-1.0919213,-0.8036852,-0.62235
356,-1.8367112,-1.360786,-1.8707156,-2.508366,-3.2351673,-2.2343218,-3.4570813,-3.23686,-3.2376766,-2.572608,-2.1315038,-1.1797607,-1.397723,-0.6424844,0.31589866,-0.5384445,-0.762254,-1.0958493,-1.9444585,-4.1825237,-4.6272993,-6.923312,-6.570637,-8.128715
355,1.6346991,1.2412906,1.7603874,2.3516536,1.2408376,1.8257976,2.1605551,2.0138502,1.7367542,1.0002494,-0.08171201,0.7502794,1.7124176,-0.42853355,1.6241252,1.5781999,2.0721614,1.7202675,1.2022913,-0.19709468,-0.2734065,-2.2862256,-0.9060979,-2.5932252
354,-3.6033869,-2.0950496,-2.0930827,0.055027008,-1.1511326,-0.2922535,-0.35507083,-0.13796091,0.261724,0.47454834,0.5596638,1.0157824,0.97239614,0.725919,0.3876269,0.19859672,1.1747837,0.44014454,-2.7603984,-1.0536969,0.1611054,0.21509528,1.320225,-0.19818544
