,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,1.5533752,1.3583679,0.9857788,1.7341003,1.4281006,1.4855957,1.5107727,1.1651306,1.1991577,1.1730957,1.2363281,1.0983582,0.032348633,0.4164734,0.19085693,0.34909058,0.39794922,1.5003052,1.4099426,0.91238403,-0.18695068,-0.19940186,0.18963623,1.9870605
365,2.2400208,2.3456116,2.2202759,2.2911987,2.480072,2.2575073,2.4351196,2.2017212,2.3986511,2.1163025,2.46109,2.1894226,2.1105042,2.0348816,2.1354675,2.4152832,2.0354614,2.373932,2.2350464,2.4758606,3.026764,3.093689,2.810028,2.7480164
364,2.2061768,2.4761047,2.215973,2.2648315,1.8248596,1.8252258,1.95578,1.9964294,2.1080627,2.102478,2.4794006,2.383606,2.387024,2.3474731,2.4804688,2.2636108,2.2685852,2.551056,2.4805908,2.8886719,2.4872131,2.3625183,2.4640503,2.416565
363,2.3812256,2.427826,2.0820312,2.0748596,1.722229,1.9055481,1.9611206,1.7406921,1.8009949,1.8899841,1.7508545,1.9772644,1.835083,2.3518982,1.7214355,1.7972717,2.06604,1.9605408,2.069336,2.5870056,3.2072144,2.7330322,2.5663757,2.6951904
362,2.480896,2.053894,2.256256,2.2513123,1.992096,1.5090637,1.6990967,1.5473022,1.4143066,1.3699341,1.2744141,1.2654114,1.3413086,1.2869263,1.3529053,1.5127258,2.0960693,2.4149475,2.604187,2.5823364,2.8153687,2.8901672,3.0393982,2.6878662
361,2.2835388,1.9472656,1.9152527,2.1402283,2.0871277,1.7429504,1.5878601,1.6131287,2.1575928,1.3869629,1.5508423,1.8683167,1.71875,1.9983826,1.8230591,1.8934326,1.8630676,2.1606445,2.5793457,2.4746094,2.4465637,2.6793213,2.7644348,3.2424011
360,1.9052734,2.0278015,1.6811523,1.8336792,1.7800293,1.6635437,1.6351013,1.7832031,1.8703613,1.645874,1.6541748,1.6743164,1.7539062,1.7223206,1.9331665,1.8738098,1.9790955,2.0532227,2.30484,2.2475586,2.2649841,2.4628296,2.5409546,2.2551575
359,2.2520447,2.4613037,1.9525757,1.929718,1.4125061,1.3481445,1.3738098,1.3315735,1.3910828,1.4234314,1.4738159,1.507904,1.3582153,1.2261658,1.1029663,1.180542,1.637146,1.6849365,2.056427,2.1817932,2.8237915,2.0968018,2.0778503,2.2712402
358,2.1933594,2.1474,2.065216,1.9556274,2.088745,1.8677063,1.8927612,1.9623413,1.7667236,2.0480652,2.2917175,1.9953918,2.0048218,1.9619141,1.8589172,2.1256714,2.3702393,2.2111206,2.1683655,2.061554,1.624054,2.1412354,2.394867,2.6056824
357,2.6669922,2.1896973,2.0495605,1.8026733,1.9049072,1.7090149,1.908905,1.8177185,1.585907,1.8567505,1.8614197,1.7659607,1.9031982,1.8028564,1.9672852,2.2999573,2.2738037,2.1505432,2.2835999,2.1187134,2.3424683,1.5908203,2.0096436,2.202942
