,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-4.379678,-4.542202,-3.383714,-2.5544345,-1.8265247,-1.4359236,-1.2455285,-0.8091271,-0.41275024,-0.40771365,-0.3466785,0.7508576,0.5903065,0.5857408,0.6689787,0.7941425,1.4904201,0.6437242,-0.7416427,-1.40571,0.3834784,2.0294368,3.1906843,3.889513
365,-1.4407814,-1.0968506,-2.1587849,-2.7167022,-1.6076744,-2.0599723,-1.6284704,-2.498436,-1.4462173,-0.4264593,-1.2417138,-0.92133284,-2.2124887,-2.550596,-2.7749896,-2.8346837,-2.6017547,-1.2405753,-1.3799012,-1.4183402,-1.4272153,-1.5338123,-1.5859067,-1.8216491
364,0.33044815,-0.65950155,-0.022673607,-0.64864755,-0.65674186,-0.62140226,-0.14468431,0.24068356,0.55969954,0.11102557,-0.5952835,-0.48274398,-0.73853135,-1.547128,-2.2598386,0.13599396,-1.8949151,-0.90492964,-0.8702636,-0.39021373,-0.628227,-1.1380672,-1.4951646,-1.7272174
363,-0.71098804,-0.5651891,-0.46886802,-0.19604564,-1.0225534,-0.45526624,-0.061386824,0.619483,1.0902584,1.4941096,1.435256,1.4018357,1.3346255,1.3570726,1.368159,1.2547493,2.5273383,2.1051526,0.71910024,-0.90547204,-0.16954541,-0.3639698,-0.16676784,-0.2529204
362,0.41649938,0.33445954,1.8006623,2.3234606,0.37664175,1.1407435,1.163131,1.4240146,1.3353169,0.679487,1.0090351,0.8505702,0.5280912,-0.09307861,-0.118756294,-0.37146807,-0.83949566,0.62731504,1.6918719,1.5970409,0.63227415,-0.0490129,-0.5230963,1.7011702
361,1.2984574,2.2702515,1.5303135,2.0352364,1.2659371,1.4584303,1.7389417,1.768434,2.135843,1.8344879,2.2985876,2.95282,2.6412845,2.7719676,2.3872137,4.3415966,2.2601187,1.6222775,4.4031563,3.4346402,-0.80082417,-0.39789677,2.114594,1.5056431
360,-0.44167042,-0.08233786,-0.73522925,-0.47191978,0.42276382,0.23053885,0.9088278,1.163739,1.525408,0.5134165,1.7362773,2.7926981,2.7343333,2.9173017,2.9084146,0.84041953,0.83670616,2.066344,1.6933918,0.46658516,2.4061382,1.9830108,1.6220093,1.3915181
359,-0.12239814,-1.497364,-1.0324955,-0.8618653,-1.1357844,-1.2197793,-0.9416282,-0.92508197,-1.5731871,-1.4639437,-1.1900544,-1.4321148,-1.6680956,-1.4344931,-1.6000807,-1.2907743,-1.068896,-1.7534196,-0.1886487,-1.215601,-0.115168095,0.37193298,0.20139217,-0.5550146
358,-0.8804798,-0.89345574,-1.3539314,-1.8604994,-2.2691488,-2.292633,-1.2243927,-1.247251,-0.90960264,-1.332128,-1.093185,-1.0532141,-1.0352969,-0.95131993,-1.1448383,-1.4966667,-0.7802129,-1.838088,-0.48587322,-0.23754835,-0.3822565,-0.5993843,-0.1490891,-0.076538324
357,-2.830255,-2.8541565,-3.4641445,-1.3334334,-1.1943102,-2.9218972,-1.9675493,-2.828437,-2.316451,-3.308797,-1.427877,-1.2105942,-0.87187886,-0.34666657,-3.1345487,-2.9986799,-2.420199,-1.3104975,-1.927799,-1.1153042,-1.4533103,-1.1933923,-0.8203268,-0.13340712
