,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,1.7913818,1.7677612,2.0119019,2.2348328,2.0437317,2.3575134,2.3353271,2.191803,2.3189392,2.4394531,2.4514465,2.289734,2.1915588,2.0449219,1.9353027,1.9032593,2.116211,2.2774048,2.182251,1.7944336,1.7953796,1.7495117,1.8764954,1.57724
365,2.826233,2.7590027,2.7921143,2.6932068,2.5569763,2.6402893,2.6197815,2.7228699,2.666626,2.680725,2.7080383,2.786377,2.786255,2.8437805,2.753479,2.8139038,2.8812866,2.918579,2.986786,3.0651855,2.9983826,2.899414,3.142334,2.98349
364,2.6532898,2.861847,2.8425598,2.845581,2.129181,2.3598938,2.483307,2.5621948,2.589264,2.2348633,2.109436,2.2563782,2.2932434,2.2557373,2.3119202,2.396576,2.5368652,2.603241,2.6937866,2.9325256,2.9411926,2.9696655,2.7026672,2.9971924
363,2.6645203,2.4975586,2.5269775,2.6695557,2.5565796,2.5228882,2.603119,2.5127869,2.544342,2.5456238,2.5654602,2.4555664,2.4005737,2.3050842,2.3839111,2.2564087,2.3096619,2.4416504,2.6029663,2.848053,2.6611938,2.7461243,2.7551575,2.7634277
362,2.5347595,2.735199,2.6045227,2.5307312,2.5263672,2.4516907,2.410736,2.6042786,2.4785767,2.442749,2.551941,2.3450623,2.3040771,2.3963318,2.2101746,2.20401,2.1037903,2.2164307,2.2304993,2.0717163,2.3964233,2.3369446,2.4588013,2.6004333
361,2.1667786,2.0836792,1.8520813,2.0464783,1.9837036,2.2173157,2.2026367,2.1186523,2.3044739,2.1046143,2.3205261,2.3895264,2.320282,2.1611023,2.1591492,2.1658325,2.2869263,2.4673767,2.321289,2.4866333,2.7641907,2.3183594,2.492218,2.4434204
360,2.1469421,2.5029297,2.5924377,1.8583984,1.9728088,2.0059814,2.0227356,2.3978271,2.525879,2.3491516,2.2388916,2.2703247,2.4048767,2.3841553,2.3442383,2.2466736,2.1678162,2.2062988,2.4041748,2.3894348,2.3442688,2.275116,2.2111511,1.9957275
359,2.276947,2.06073,2.1030884,2.2603455,1.9355774,2.0500488,1.9113464,2.0778198,2.110382,2.1062012,2.0651855,2.296173,2.2141113,2.1809692,2.4246826,2.269104,2.1607056,2.170807,2.1452332,2.1245117,2.144806,2.2860718,2.2345276,2.1964417
358,2.0959778,2.0450745,2.2749634,2.1640625,2.0223694,2.178833,2.2427368,2.1586304,2.2724915,2.2023315,2.1551514,2.2635803,2.0351868,2.0827637,1.9326172,1.9533691,2.1689148,1.84021,2.2375793,2.078247,2.2189941,2.0675964,1.9881592,2.178711
357,2.287506,2.2659912,2.35083,2.276825,2.1986084,2.5404358,2.449768,2.3312988,2.3481445,2.2931519,2.0399475,2.2755127,2.0070496,2.016449,2.0479126,2.1065674,2.0216064,2.1549988,2.209198,2.0299683,2.1312866,2.2298584,2.0577698,2.0783386
356,2.1582336,2.231842,2.194275,2.2059937,2.1480408,2.210907,2.019165,2.030304,2.1490173,2.2625122,2.0787659,2.0513306,2.1061401,2.1481323,2.0439758,2.140503,1.9820557,2.1004944,2.0549011,1.943634,2.2808228,2.316681,2.3442383,2.3473816
355,2.695465,2.5490723,2.4244995,2.4986877,2.3476868,2.395111,2.3391113,2.3641968,2.4323425,2.6140747,2.5778809,2.4734192,2.335907,2.397766,2.3651428,2.3626404,2.160431,2.5211182,2.4389648,2.2920227,2.3719788,2.3069458,2.3475952,2.4293518
354,2.6870117,2.54187,2.4733276,2.3579712,2.3170776,2.349762,2.27182,2.3349915,2.3666992,2.4127197,2.3346558,2.323578,2.3052063,2.2201233,2.2854004,2.3276367,2.4492188,2.31781,2.521515,2.6240234,2.734375,2.8499146,2.8380737,2.6886597
353,2.605713,2.4552002,2.5780334,2.4273987,2.4389648,2.5723267,2.551422,2.4855042,2.5396423,2.5130005,2.4418335,2.468628,2.5306091,2.4933472,2.3835144,2.2909546,2.2294922,2.4568481,2.4360046,2.4546204,2.6064453,2.6091614,2.4376526,2.9410095
352,2.5964355,2.605774,2.5901794,2.5204163,2.505951,2.5115051,2.4053345,2.517273,2.3798828,2.2970276,2.3268738,2.455017,2.5426025,2.4695435,2.3909302,2.2988281,2.4132385,2.3408508,2.549591,2.7820435,2.8430786,2.6481934,2.5807495,2.524109
351,2.9071045,2.9793396,2.8148804,2.7997437,2.843689,2.8836365,2.7061157,2.7842712,2.822235,2.8136597,2.7391968,2.773285,2.871399,2.8192139,2.817627,2.8055725,2.69339,2.6760864,2.7818604,2.8412476,2.6557312,2.5522156,2.734558,2.6214294
350,2.873108,2.8697815,2.7607727,2.764679,2.6990662,2.745636,2.939209,2.7346191,2.9681702,2.9413452,2.8926392,2.8926392,2.895172,2.8962097,2.8380127,2.8667908,2.9302979,3.0101624,3.413391,3.3011475,3.1322937,3.0374756,3.1072083,2.8394775
349,2.6533813,2.5235596,2.6017761,2.512024,2.762207,2.472351,2.5153503,2.6117554,2.5972595,2.6038208,2.5244446,2.5257874,2.5785828,2.5518188,2.536377,2.5237732,2.5331116,2.7060242,2.8108826,2.9552612,2.987732,2.9249573,2.954193,2.8304138
348,2.351471,2.309143,2.2976074,2.3239746,2.3330078,2.3493652,2.4286804,2.3996887,2.3493958,2.3105774,2.2818604,2.4752197,2.317505,2.1788025,2.1740723,2.204132,2.1881104,2.361206,2.2345276,2.501648,2.6830444,2.556549,2.6226196,2.6817627
347,2.3160095,2.355072,2.4152832,2.4014893,2.2781372,2.3091736,2.3050842,2.2192383,2.0734863,2.1064453,2.2947693,2.067047,2.3769226,2.245514,2.29245,2.2801208,2.24115,2.1741943,2.1838684,2.2408447,2.3008728,2.4229736,2.4491577,2.3723145
346,2.5085754,2.4337158,2.3431396,2.3639832,2.4441528,2.3757935,2.2990723,2.245758,2.3027344,2.338623,2.3721008,2.3033447,2.3359375,2.3974,2.294098,2.2514954,2.3858948,2.4639587,2.4450684,2.3790894,2.6215515,2.363556,2.0793762,2.390442
345,2.7209473,2.7687073,2.7763672,2.8629456,2.6129456,2.6957092,2.6647034,2.6545715,2.7597046,2.734375,2.7008362,2.460846,2.4994202,2.4760742,2.508789,2.5079346,2.4767456,2.3718262,2.4424133,2.4782104,2.1956177,2.2914124,2.5157776,2.3365784
344,2.9241638,3.0873413,2.9450684,2.8170166,2.704773,2.7612915,2.6767578,2.6930542,2.8225708,2.8561096,2.5795898,2.4223328,2.8273315,2.7601929,2.6567993,2.5948486,2.4969177,2.864685,2.7914734,2.6922607,2.8293152,2.9533997,2.847046,2.7182617
343,2.82135,2.9980774,3.0439148,3.0551147,3.0429382,3.161499,3.0787354,3.2902832,3.4470215,3.1809082,3.445984,3.4230652,3.370758,3.2180176,3.1994324,3.071869,3.0351562,3.2401428,3.2485352,3.131256,3.1880188,3.136261,2.9648438,3.1581726
342,2.4806824,2.5990295,2.755005,2.6585083,2.7243042,2.8399963,2.771637,2.8563232,2.7972107,3.0012512,2.9155273,3.040863,3.077942,3.112793,3.0801697,2.994751,2.936432,3.0933533,2.798523,2.9508362,3.1042786,2.83667,2.8973694,2.8813477
341,2.3826294,2.475525,2.4290771,2.362152,2.4229736,2.6052551,2.4750977,2.5395508,2.6040344,2.506836,2.5391846,2.580597,2.7643127,2.835205,2.8113098,2.8033447,2.701233,2.6451416,2.716095,2.6903687,2.6540833,2.5634155,2.650879,2.33432
