time,NorESM2-MM_r1i1p1f1_ssp585,NorESM2-MM_r1i1p1f1_ssp370,NorESM2-MM_r1i1p1f1_ssp245,NorESM2-MM_r2i1p1f1_ssp245,CESM2_r10i1p1f1_ssp585,CESM2_r10i1p1f1_ssp370,CESM2_r10i1p1f1_ssp245,CESM2_r11i1p1f1_ssp585,CESM2_r11i1p1f1_ssp370,CESM2_r11i1p1f1_ssp245,CESM2_r4i1p1f1_ssp585,CESM2_r4i1p1f1_ssp370,CESM2_r4i1p1f1_ssp245,CESM2-LENS_r10i1181p1f1_ssp370,CESM2-LENS_r1i1001p1f1_ssp370,CESM2-LENS_r2i1021p1f1_ssp370,CESM2-LENS_r3i1041p1f1_ssp370,CESM2-LENS_r4i1061p1f1_ssp370,CESM2-LENS_r5i1081p1f1_ssp370,CESM2-LENS_r6i1101p1f1_ssp370,CESM2-LENS_r7i1121p1f1_ssp370,CESM2-LENS_r8i1141p1f1_ssp370,CESM2-LENS_r9i1161p1f1_ssp370
1860-01-16 12:00:00,0.058361165175891946,0.058361165175891946,0.058361165175891946,0.03032495952712703,-0.13658062612476365,-0.13658062612476365,-0.13658062612476365,-0.14110313406218206,-0.14110313406218206,-0.14110313406218206,-0.05053010141700535,-0.05053010141700535,-0.05053010141700535,0.008211424724337965,-0.037020837357419366,-0.018006363852630377,0.018064416313567002,-0.00651988324136236,0.06007544605603646,-0.007560988941155244,-0.05420018464036976,-0.07286413578978568,-0.057940317875696694
1860-02-15 00:00:00,0.05782985894001129,0.05782985894001129,0.05782985894001129,0.027336738754450116,-0.13512699631903757,-0.13512699631903757,-0.13512699631903757,-0.1400170647068632,-0.1400170647068632,-0.1400170647068632,-0.049794485068880096,-0.049794485068880096,-0.049794485068880096,0.006728909373920544,-0.03702177803586982,-0.020067988646596292,0.02076630078110308,-0.006783797454504992,0.059772190857908684,-0.007028852160802757,-0.051817739617303,-0.06935223398503444,-0.05833633317844047
1860-03-16 12:00:00,0.056140770760834374,0.056140770760834374,0.056140770760834374,0.024623643434247573,-0.13510108271941826,-0.13510108271941826,-0.13510108271941826,-0.1395689320943094,-0.1395689320943094,-0.1395689320943094,-0.04836247421227284,-0.04836247421227284,-0.04836247421227284,0.004682916069950001,-0.036694808219783444,-0.020792192439737296,0.02176293476739938,-0.006947568799511809,0.06131073121318001,-0.006480726843175688,-0.05176870760037815,-0.06817630317362103,-0.0567356999468636
1860-04-16 00:00:00,0.05472076640249431,0.05472076640249431,0.05472076640249431,0.02100615324402118,-0.1350237229201312,-0.1350237229201312,-0.1350237229201312,-0.13993007388300047,-0.13993007388300047,-0.13993007388300047,-0.047256036367066656,-0.047256036367066656,-0.047256036367066656,0.003976964384370282,-0.03607793926993423,-0.02131291862443329,0.02435981853739643,-0.005019660998025207,0.06182274488712878,-0.006532201110218239,-0.05259491066463321,-0.06789355889228142,-0.05560433215510206
1860-05-16 12:00:00,0.053260637110662874,0.053260637110662874,0.053260637110662874,0.017322921857285914,-0.13436462839258898,-0.13436462839258898,-0.13436462839258898,-0.13907453634488956,-0.13907453634488956,-0.13907453634488956,-0.04662404214706465,-0.04662404214706465,-0.04662404214706465,0.004040319352575258,-0.03407541811614649,-0.02162916707873824,0.026678738457616903,-0.003956101501925483,0.06412294460633702,-0.00480188804450421,-0.05286575641545402,-0.06740263642309567,-0.05580817100737221
1860-06-16 00:00:00,0.05136140094579863,0.05136140094579863,0.05136140094579863,0.014486415854278316,-0.13283443017510238,-0.13283443017510238,-0.13283443017510238,-0.138654419839812,-0.138654419839812,-0.138654419839812,-0.04504203667096813,-0.04504203667096813,-0.04504203667096813,0.0029583535567889877,-0.03276315883224091,-0.02191019103495814,0.02835669428861749,-0.004320429078987805,0.06523925789808539,-0.004908377773493555,-0.05171092604410674,-0.06669111442329385,-0.05588924700856476
1860-07-16 12:00:00,0.050242268362779896,0.050242268362779896,0.050242268362779896,0.012959165204576331,-0.1324529934033765,-0.1324529934033765,-0.1324529934033765,-0.13885212491764562,-0.13885212491764562,-0.13885212491764562,-0.043935705002404526,-0.043935705002404526,-0.043935705002404526,0.0015648082990783981,-0.032120592436547926,-0.022646407010231448,0.029617367777109868,-0.005069936203513,0.06612791836075331,-0.004185209266068313,-0.051732192853637574,-0.0657266123029295,-0.05589630799512595
1860-08-16 12:00:00,0.04993611507900771,0.04993611507900771,0.04993611507900771,0.011109392608055184,-0.1310554193882292,-0.1310554193882292,-0.1310554193882292,-0.13905409494489998,-0.13905409494489998,-0.13905409494489998,-0.042926055871602385,-0.042926055871602385,-0.042926055871602385,0.0007630255754068097,-0.03229815224295886,-0.02286506939034799,0.03178544009290576,-0.0046746254104244635,0.06580255735189625,-0.0039640849824590894,-0.05127639534500119,-0.06460392739929735,-0.05538364353191246
1860-09-16 00:00:00,0.049501111538166026,0.049501111538166026,0.049501111538166026,0.009208123432578218,-0.13008062935657586,-0.13008062935657586,-0.13008062935657586,-0.13890036177490164,-0.13890036177490164,-0.13890036177490164,-0.041559034960481966,-0.041559034960481966,-0.041559034960481966,0.0004722962470054881,-0.031114432525001946,-0.023472732390443934,0.03334270017404132,-0.004287064394727717,0.06626068998949322,-0.003309718991197267,-0.051430869478974725,-0.06363315485782692,-0.05544953154562601
1860-10-16 12:00:00,0.04948087196919602,0.04948087196919602,0.04948087196919602,0.00887830204258364,-0.13008304879651553,-0.13008304879651553,-0.13008304879651553,-0.13899725531870408,-0.13899725531870408,-0.13899725531870408,-0.04044492982259034,-0.04044492982259034,-0.04044492982259034,-0.0012119715207771738,-0.030831055293899824,-0.02379479325923626,0.03466147519133074,-0.004846020310040444,0.06681527072480194,-0.002681961736358337,-0.05107360370816873,-0.06278974085141134,-0.05623252493012813
