variable_id,long_name,unit,display_name,extended_description,colormap,show
sfc_runoff,surface runoff ,mm/d,Surface runoff,"The rate at which water travels over the ground surface until it reaches a body of water (stream, river, etc.)",ae_blue,FALSE
subsfc_runoff,subsurface runoff ,mm/d,Subsurface runoff,"The rate at which  water that has infiltrated the ground surface travels underground until it reaches a body of water (stream, river, etc.)",ae_blue,FALSE
lh_sfc,latent heat flux at the surface,W/m2,Latent heat flux at the surface,"The movement of energy generated by evaporation or condensation between the surface and the atmosphere. By convention, positive latent heat flux is directed  from the surface up into the atmosphere. ",ae_diverging,FALSE
prec_max,maximum precipitation,mm/h,Maximum precipitation,The maximum precipitation rate in a single hour. ,ae_blue,FALSE
sw_sfc,shortwave flux at the surface,W/m2,Shortwave flux at the surface,Shortwave radiation from the sun that reaches Earth's surface. ,ae_orange,FALSE
sh_sfc,sensible heat flux at the surface,W/m2,Sensible heat flux at the surface,"The movement of energy generated by a difference in temperatures between the surface and the atmosphere. By convention, positive sensible heat flux is directed from the surface up into the atmosphere. ",ae_diverging,FALSE
tskin,surface skin temperature ,K,Surface skin temperature,Temperature of the Earth's surface (ground surface).,ae_orange,TRUE
snow,snow water equivalent,mm,Snow water equivalent,The amount of water that would be present if all snow melted. ,ae_blue,FALSE
t2min,daily minimum 2-m temperature ,K,Daily minimum air temperature at 2m,The minimum daily air temperature at 2m above the Earth's surface. ,ae_orange,FALSE
lw_sfc,longwave flux at the surface,W/m2,Longwave flux at the surface,Longwave radiation emitted by Earth's surface.,ae_orange,FALSE
psfc,surface pressure,hPa,Surface Pressure,Air pressure at Earth's surface.,ae_diverging,TRUE
q2,2-meter specific humidity,g/kg,Specific humidity at 2m,"The ratio of the mass of water vapor over the mass of dry air, measured 2m above Earth's surface.",ae_blue,FALSE
