GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
ACCESS-ESM1-5,r21i1p1f1,ssp370,2041-09-16 00:00:00,2053-05-16 12:00:00,2065-09-16 00:00:00,2076-12-16 12:00:00,
ACCESS-ESM1-5,r27i1p1f1,ssp370,2041-01-16 12:00:00,2050-11-16 00:00:00,2062-07-16 12:00:00,2075-06-16 00:00:00,
ACCESS-ESM1-5,r22i1p1f1,ssp370,2041-05-16 12:00:00,2055-02-15 00:00:00,2065-10-16 12:00:00,2074-01-16 12:00:00,
ACCESS-ESM1-5,r23i1p1f1,ssp370,2037-02-15 00:00:00,2047-06-16 00:00:00,2060-11-16 00:00:00,2071-10-16 12:00:00,
ACCESS-ESM1-5,r2i1p1f1,ssp585,2037-09-16 00:00:00,2047-05-16 12:00:00,2057-02-15 00:00:00,2066-10-16 12:00:00,2082-11-16 00:00:00
ACCESS-ESM1-5,r35i1p1f1,ssp370,2040-12-16 12:00:00,2052-09-16 00:00:00,2064-05-16 12:00:00,2074-06-16 00:00:00,
ACCESS-ESM1-5,r35i1p1f1,ssp245,2039-07-16 12:00:00,2055-10-16 12:00:00,2075-07-16 12:00:00,,
ACCESS-ESM1-5,r18i1p1f1,ssp370,2047-05-16 12:00:00,2057-06-16 00:00:00,2065-11-16 00:00:00,2075-11-16 00:00:00,
ACCESS-ESM1-5,r8i1p1f1,ssp585,2038-10-16 12:00:00,2049-02-15 00:00:00,2057-11-16 00:00:00,2068-01-16 12:00:00,2085-01-16 12:00:00
ACCESS-ESM1-5,r39i1p1f1,ssp370,2041-07-16 12:00:00,2051-12-16 12:00:00,2063-10-16 12:00:00,2075-01-16 12:00:00,
ACCESS-ESM1-5,r39i1p1f1,ssp245,2039-09-16 00:00:00,2053-11-16 00:00:00,2075-01-16 12:00:00,,
ACCESS-ESM1-5,r1i1p1f1,ssp585,2036-09-16 00:00:00,2047-03-16 12:00:00,2057-09-16 00:00:00,2065-12-16 12:00:00,2082-07-16 12:00:00
