activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path
sup3r,nlr,GFDL-CM4,historical,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/historical/1hr/ws10/conus4km/
sup3r,nlr,GFDL-CM4,historical,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/historical/1hr/ws100/conus4km/
sup3r,nlr,GFDL-CM4,historical,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/historical/1hr/ws200/conus4km/
sup3r,nlr,GFDL-CM4,historical,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/historical/day/prec/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/psfc/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/rh/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/t2/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/swddif/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/swddni/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/swdnb/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/wd10/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/wd100/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/wd200/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/ws10/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/ws100/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/1hr/ws200/conus4km/
sup3r,nlr,GFDL-CM4,ssp245,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/gfdl-cm4/ssp245/day/prec/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/psfc/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/rh/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/t2/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/swddif/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/swddni/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/swdnb/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/wd10/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/wd100/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/wd200/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/ws10/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/ws100/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/1hr/ws200/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,historical,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/historical/day/prec/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/psfc/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/rh/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/t2/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/swddif/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/swddni/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/swdnb/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/wd10/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/wd100/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/wd200/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/ws10/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/ws100/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/1hr/ws200/conus4km/
sup3r,nlr,MPI-ESM1-2-HR,ssp245,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/mpi-esm1-2-hr/ssp245/day/prec/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/psfc/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/rh/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/t2/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/swddif/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/swddni/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/swdnb/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/wd10/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/wd100/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/wd200/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/ws10/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/ws100/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/1hr/ws200/conus4km/
sup3r,nlr,TaiESM1,historical,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/taiesm1/historical/day/prec/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/psfc/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/rh/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/t2/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/swddif/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/swddni/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/swdnb/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/wd10/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/wd100/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/wd200/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/ws10/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/ws100/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/1hr/ws200/conus4km/
sup3r,nlr,TaiESM1,ssp245,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/taiesm1/ssp245/day/prec/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/psfc/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/rh/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/t2/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/swddif/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/swddni/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/swdnb/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/wd10/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/wd100/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/wd200/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/ws10/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/ws100/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/1hr/ws200/conus4km/
sup3r,nlr,EC-Earth3-Veg,historical,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/historical/day/prec/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,psfc,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/psfc/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,rh,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/rh/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,t2,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/t2/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,swddif,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/swddif/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,swddni,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/swddni/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,swdnb,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/swdnb/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,wd10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/wd10/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,wd100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/wd100/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,wd200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/wd200/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,ws10,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/ws10/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,ws100,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/ws100/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,1hr,ws200,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/1hr/ws200/conus4km/
sup3r,nlr,EC-Earth3-Veg,ssp245,r1i1p1f1,day,prec,conus4km,s3://cadcat/sup3r/nlr/ec-earth3-veg/ssp245/day/prec/conus4km/
