era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_72073400264,43.581,-116.523,773.2776,2010-05-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,316985
ASOSAWOS_72074100269,35.947,-114.861,671.1696,2010-06-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,314361
ASOSAWOS_72074924255,48.35,-122.667,14.3256,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,189121
ASOSAWOS_72083900279,39.667,-119.876,1540.1544,2011-09-21 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,281118
ASOSAWOS_72085200280,38.946,-104.57,2095.1952,2010-12-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,297648
ASOSAWOS_72092300310,48.726,-116.295,711.0984,2011-01-18 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,291198
ASOSAWOS_72096900341,44.15,-107.167,2741.0664,2012-01-30 00:00:00+00:00,2012-12-13 00:00:00+00:00,ASOSAWOS,6462
ASOSAWOS_72097100342,42.517,-108.783,2588.0568,2012-01-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,206478
ASOSAWOS_72097600345,32.333,-108.691,1304.2392,2012-02-15 00:00:00+00:00,2022-08-12 00:00:00+00:00,ASOSAWOS,117454
ASOSAWOS_72103600353,43.467,-108.389,2225.04,2012-08-06 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179133
ASOSAWOS_72206103038,39.467,-106.15,3680.1552,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,388268
ASOSAWOS_72209653127,35.976,-115.133,35.976,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,150709
ASOSAWOS_72210103039,37.45,-106.8,3593.8968,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,359126
ASOSAWOS_72214204114,44.523,-114.216,1534.0584,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,177445
ASOSAWOS_72215503040,39.217,-104.633,2151.888,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,413780
ASOSAWOS_72220303041,38.483,-106.317,3667.0488,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,373976
ASOSAWOS_72220804224,48.708,-122.911,9.4488,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,434798
ASOSAWOS_72222100444,41.037,-107.493,1996.1352,2013-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,228304
ASOSAWOS_72233303069,38.097,-106.169,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,376696
ASOSAWOS_72267603035,32.853,-104.468,32.852,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,429536
ASOSAWOS_72267703027,35.003,-105.663,2157.984,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,178918
ASOSAWOS_72267823052,36.742,-104.508,1936.3944,1998-09-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,206539
ASOSAWOS_72268023009,33.307,-104.508,1104.5952,1942-07-13 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,503347
ASOSAWOS_72268393083,33.45,-105.517,2075.688,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,421773
ASOSAWOS_72268793033,32.334,-104.258,990.6,1942-09-10 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,467243
ASOSAWOS_72268923077,34.433,-103.083,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,347675
ASOSAWOS_72269393097,32.84,-105.991,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,422898
ASOSAWOS_72269593041,32.283,-106.917,1357.5792,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,435510
ASOSAWOS_72270023044,31.812,-106.377,1202.1312,1941-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,498941
ASOSAWOS_72271093045,33.237,-107.268,1470.0504,1978-03-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,489874
ASOSAWOS_72272193063,32.633,-108.167,1637.6904,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,451618
ASOSAWOS_72272523078,32.259,-107.721,1311.5544,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,162905
ASOSAWOS_72272803196,31.421,-110.847,1192.9872,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,168573
ASOSAWOS_72273003124,31.588,-110.344,1438.3512,1954-10-11 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,342318
ASOSAWOS_72274023160,32.132,-110.956,777.5448,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,429926
ASOSAWOS_72274793084,32.857,-109.636,967.74,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,159007
ASOSAWOS_72274803914,32.95,-111.767,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,326820
ASOSAWOS_72274953128,33.269,-111.813,378.8664,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,92525
ASOSAWOS_72276403029,35.657,-109.06,2055.2664,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,171665
ASOSAWOS_72278023183,33.428,-112.004,339.2424,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,424041
ASOSAWOS_72278303185,33.466,-111.721,423.3672,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,91095
ASOSAWOS_72278403184,33.69,-112.066,453.2376,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,158577
ASOSAWOS_72278623104,33.3,-111.667,-30479.6952,1942-03-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,411284
