activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path,catalog,installation
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,evap_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/evap_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,gh_sfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/gh_sfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,gh_sfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/gh_sfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,gh_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/gh_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,iwp,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/iwp/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,iwp,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/iwp/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,iwp,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/iwp/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lcl,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lcl/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lcl,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lcl/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lcl,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lcl/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lh_sfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lh_sfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lh_sfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lh_sfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lh_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lh_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_dwn,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_dwn/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_dwn,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_dwn/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_dwn,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_dwn/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lwp,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lwp/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lwp,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lwp/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lwp,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lwp/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_sfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_sfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_sfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_sfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,lw_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/lw_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,pblh,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/pblh/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,pblh,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/pblh/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,pblh,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/pblh/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_c,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_c/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_c,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_c/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_c,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_c/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_max,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_max/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_max,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_max/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_max,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_max/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_snow,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_snow/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_snow,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_snow/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,prec_snow,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/prec_snow/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,psfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/psfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,psfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/psfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,psfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/psfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,q2,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/q2/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,q2,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/q2/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,q2,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/q2/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,rh,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/rh/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,rh,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/rh/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,rh,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/rh/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sfc_runoff,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sfc_runoff/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sfc_runoff,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sfc_runoff/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sfc_runoff,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sfc_runoff/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sh_sfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sh_sfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sh_sfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sh_sfc/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sh_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sh_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,snow,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/snow/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,snow,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/snow/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,snow,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/snow/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,subsfc_runoff,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/subsfc_runoff/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,subsfc_runoff,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/subsfc_runoff/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,subsfc_runoff,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/subsfc_runoff/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_dwn,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_dwn/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_dwn,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_dwn/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_dwn,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_dwn/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_sfc,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_sfc/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_sfc,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_sfc/d02/,data,
