Year,5%,Mean,95%
2015,1.010285968,1.099247547,1.196468787
2016,1.027753755,1.124936489,1.232380706
2017,1.045768498,1.151127281,1.267276552
2018,1.063368498,1.176866572,1.302330444
2019,1.081300896,1.202266409,1.340350751
2020,1.09865454,1.228768373,1.378903227
2021,1.114052097,1.254123596,1.414332501
2022,1.13023214,1.278778937,1.449860415
2023,1.146167254,1.30178068,1.484397476
2024,1.161122394,1.325222232,1.521392977
2025,1.175604574,1.350618531,1.552925162
2026,1.189768229,1.372619163,1.585592684
2027,1.204514327,1.395754585,1.614728989
2028,1.218856351,1.417280592,1.645861947
2029,1.232814777,1.439774724,1.678248809
2030,1.246874653,1.460753546,1.70836156
2031,1.259753185,1.48046995,1.737507885
2032,1.270556296,1.499200188,1.765484912
2033,1.281696377,1.517611007,1.792770565
2034,1.291473976,1.534261347,1.820492619
2035,1.299266308,1.549817928,1.843521653
2036,1.307635271,1.56524088,1.867629645
2037,1.315347228,1.579491812,1.893450366
2038,1.323293169,1.594629592,1.917318029
2039,1.331534996,1.609538329,1.940528663
2040,1.339642935,1.622439625,1.96203604
2041,1.346727778,1.635165952,1.983618275
2042,1.354334544,1.647946033,2.006871617
2043,1.359253627,1.660422854,2.029218993
2044,1.364642585,1.669689911,2.049021985
2045,1.370174478,1.679842347,2.067024313
2046,1.375088309,1.690823895,2.082946783
2047,1.378215359,1.700404272,2.112893037
2048,1.381058223,1.708019939,2.128091857
2049,1.384713231,1.716008714,2.14282916
2050,1.38574559,1.723816299,2.156089668
2051,1.387556832,1.732702155,2.169123281
2052,1.391785543,1.740365356,2.181836055
2053,1.394137457,1.747410789,2.193510973
2054,1.395253781,1.754036512,2.204807216
2055,1.397690539,1.760044209,2.215678754
2056,1.398037165,1.765643665,2.22533482
2057,1.398942502,1.770448395,2.233615485
2058,1.401268375,1.774362385,2.242317217
2059,1.4024254,1.778051519,2.250150496
2060,1.40304165,1.782696197,2.257247589
2061,1.405418734,1.78585273,2.263809255
2062,1.406355635,1.787993181,2.269791713
2063,1.408127056,1.791742064,2.274116523
2064,1.410168982,1.794761577,2.279494195
2065,1.411076301,1.797476505,2.285248935
2066,1.410641732,1.798835813,2.289981306
2067,1.410876824,1.798589211,2.293074106
2068,1.410725848,1.799042173,2.296298541
2069,1.409967256,1.801170645,2.299917709
2070,1.40946363,1.800509257,2.303786568
2071,1.409144936,1.800176143,2.307275671
2072,1.408099532,1.800643782,2.310121048
2073,1.40671703,1.799682314,2.313491728
2074,1.407026849,1.799241901,2.316333283
2075,1.406321877,1.798608142,2.319976901
2076,1.40704158,1.797969429,2.322319708
2077,1.406602207,1.796334256,2.323878021
2078,1.403537741,1.793544319,2.324984202
2079,1.400259221,1.792229004,2.326365615
2080,1.398355882,1.788891938,2.326129072
2081,1.393610726,1.786833311,2.327203687
2082,1.391900192,1.783811909,2.327554774
2083,1.388847844,1.780553457,2.32888364
2084,1.383839488,1.777842173,2.329567221
2085,1.38185377,1.774576942,2.330611199
2086,1.378968542,1.772189482,2.331366762
2087,1.37416306,1.769013637,2.332965733
2088,1.368898956,1.764498228,2.332888421
2089,1.364901995,1.760809845,2.332466457
2090,1.360256627,1.758729909,2.331471247
2091,1.356950757,1.75431596,2.33264913
2092,1.352560162,1.749871218,2.3325151
2093,1.348302326,1.746275025,2.332138776
2094,1.342932863,1.742477455,2.331450735
2095,1.338564519,1.738994,2.330311127
2096,1.333901173,1.734824558,2.329500645
2097,1.32877629,1.731581064,2.328148477
2098,1.324557219,1.727422952,2.326610444
2099,1.31965213,1.723633029,2.32461298
